"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-01",101.584,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-02",101.3255,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-03",101.1023,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-04",100.9791,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-05",101.0102,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-06",101.0982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-07",101.1168,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-08",100.9762,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-09",100.7583,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-10",100.5773,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-11",100.5186,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1960-12",100.5397,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-01",100.5884,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-02",100.6403,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-03",100.7094,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-04",100.8315,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0309,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-06",101.2332,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-07",101.3304,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-08",101.2417,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-09",101.0809,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-10",101.0002,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-11",101.1075,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1961-12",101.3027,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-01",101.442,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-02",101.4147,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-03",101.2751,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-04",101.0931,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-05",100.9166,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-06",100.7759,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-07",100.7106,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-08",100.761,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-09",100.8837,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-10",101.0348,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-11",101.1816,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1962-12",101.2848,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-01",101.2858,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-02",101.1375,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-03",100.9371,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-04",100.8104,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-05",100.849,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-06",100.9721,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-07",101.0741,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-08",101.0856,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-09",101.0575,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-10",101.0698,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-11",101.1813,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1963-12",101.3387,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-01",101.4656,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-02",101.5062,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-03",101.4993,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-04",101.4981,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-05",101.538,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-06",101.598,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-07",101.6439,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-08",101.6508,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-09",101.6398,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-10",101.6437,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-11",101.6901,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1964-12",101.7705,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-01",101.8764,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-02",102.0012,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-03",102.1177,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-04",102.1867,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-05",102.1741,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-06",102.1167,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-07",102.0552,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-08",102.0131,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-09",101.9799,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-10",101.9326,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-11",101.85,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1965-12",101.74,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-01",101.6081,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-02",101.453,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-03",101.2844,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-04",101.1087,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-05",100.9285,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-06",100.7489,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-07",100.5804,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-08",100.4413,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-09",100.3492,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-10",100.3456,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-11",100.4741,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1966-12",100.6693,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-01",100.8575,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-02",100.9891,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-03",101.0792,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-04",101.1466,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-05",101.1952,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-06",101.2167,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-07",101.186,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-08",101.0825,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-09",100.9644,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-10",100.9108,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-11",100.9783,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1967-12",101.0928,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-01",101.1518,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-02",101.0791,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-03",100.9349,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-04",100.7997,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-05",100.7297,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-06",100.7023,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-07",100.6866,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-08",100.671,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-09",100.6782,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-10",100.7539,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-11",100.9319,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1968-12",101.1304,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-01",101.2305,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-02",101.1335,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-03",100.9165,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-04",100.6659,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-05",100.4302,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-06",100.2073,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-07",99.97873,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-08",99.7322,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-09",99.48914,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-10",99.28745,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-11",99.16066,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1969-12",99.0759,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-01",98.99757,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-02",98.90916,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-03",98.82858,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-04",98.79019,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-05",98.81912,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-06",98.8633,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-07",98.85116,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-08",98.73413,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-09",98.58536,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-10",98.51201,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-11",98.59924,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1970-12",98.77882,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-01",98.9663,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-02",99.10595,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-03",99.20771,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-04",99.29021,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-05",99.36176,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-06",99.42045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-07",99.45753,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-08",99.47347,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-09",99.51573,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-10",99.65887,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-11",99.95833,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1971-12",100.3034,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-01",100.543,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-02",100.566,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-03",100.4867,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-04",100.4566,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-05",100.5786,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-06",100.7708,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-07",100.9055,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-08",100.8762,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-09",100.723,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-10",100.4848,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-11",100.1751,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1972-12",99.84299,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-01",99.5364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-02",99.2877,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-03",99.07372,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-04",98.87156,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-05",98.67953,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-06",98.52641,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-07",98.46659,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-08",98.53628,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-09",98.61643,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-10",98.54027,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-11",98.19034,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1973-12",97.75184,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-01",97.48375,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-02",97.57842,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-03",97.85082,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-04",98.04945,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-05",97.98953,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-06",97.76003,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-07",97.48029,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-08",97.22636,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-09",97.00753,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-10",96.82729,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-11",96.70916,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1974-12",96.68407,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-01",96.83362,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-02",97.24032,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-03",97.76325,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-04",98.22995,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-05",98.51198,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-06",98.65681,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-07",98.72,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-08",98.7345,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.76174,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.87311,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.11885,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.4127,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-01",99.64061,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-02",99.72124,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-03",99.73251,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-04",99.77974,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-05",99.93323,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.1298,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.2713,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.2802,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.2099,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.1295,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.0882,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.089,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.1337,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-02",100.2266,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-03",100.3337,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.4111,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.4212,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.3762,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.2814,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.1329,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-09",99.96493,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-10",99.81752,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-11",99.72302,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1977-12",99.67252,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-01",99.63943,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-02",99.55907,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-03",99.42087,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-04",99.41961,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-05",99.44385,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-06",99.40797,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-07",99.38154,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-08",99.28256,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-09",99.18746,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-10",98.9575,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-11",98.57018,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1978-12",98.21918,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-01",98.19379,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-02",98.17844,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-03",97.98693,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-04",97.79039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-05",97.6591,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-06",97.47549,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-07",97.31345,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-08",97.35036,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-09",97.39104,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-10",97.31533,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-11",97.29724,
"USA","CCI","AMPLITUD","LTRENDIDX","M","1979-12",97.33727,
