"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-01",101.2962,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-02",101.6487,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-03",101.9413,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-04",102.1489,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-05",102.2737,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-06",102.3219,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-07",102.3337,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-08",102.3272,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-09",102.3097,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-10",102.2669,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-11",102.166,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1955-12",101.9853,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-01",101.7172,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-02",101.4012,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-03",101.0843,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-04",100.7859,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-05",100.5234,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-06",100.341,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-07",100.2708,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-08",100.3143,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-09",100.4202,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-10",100.5306,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-11",100.6013,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1956-12",100.5885,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-01",100.4731,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-02",100.3,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-03",100.0713,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-04",99.82009,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-05",99.57751,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-06",99.32139,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-07",99.01883,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-08",98.65156,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-09",98.22083,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-10",97.769,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-11",97.36397,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.05301,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-01",96.8873,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-02",96.88441,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.0625,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.40586,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-05",97.9032,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.49731,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.1257,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.74798,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-09",100.3426,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.91,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-11",101.4369,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1958-12",101.9107,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-01",102.3347,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-02",102.6704,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-03",102.8831,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-04",102.9509,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-05",102.8642,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-06",102.6305,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-07",102.2905,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-08",101.914,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.5667,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.2893,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-11",101.0883,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1959-12",100.9322,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-01",100.7297,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-02",100.4464,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-03",100.1254,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-04",99.82024,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-05",99.55415,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-06",99.32285,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-07",99.10696,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-08",98.90266,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-09",98.70179,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-10",98.53085,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-11",98.42038,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1960-12",98.4049,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-01",98.50067,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-02",98.7206,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-03",99.05891,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-04",99.46875,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.88652,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-06",100.2764,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-07",100.6131,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-08",100.8879,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-09",101.0885,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-10",101.2112,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-11",101.2623,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1961-12",101.2311,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-01",101.1096,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-02",100.9162,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-03",100.6515,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-04",100.3351,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-05",100.0094,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-06",99.72005,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-07",99.5149,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-08",99.40615,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.3933,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.46152,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.59457,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.75753,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.91913,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-02",100.0626,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.179,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.2613,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.2975,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.2856,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.2437,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-08",100.1978,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-09",100.1699,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-10",100.1555,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-11",100.1521,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1963-12",100.1749,
"USA","CLI","AMPLITUD","LTRENDIDX","M","1964-01",100.2416,
